"ID","PLAYER"
"abrinal01","lex Abrines"
"acyqu01","Quincy Acy"
"adamsst01","Steven Adams"
"afflaar01","Arron Afflalo"
"ajincal01","Alexis Ajina"
"aldrico01","Cole Aldrich"
"aldrila01","LaMarcus Aldridge"
"allenla01","Lavoy Allen"
"allento01","Tony Allen"
"aminual01","Al-Farouq Aminu"
"anderch01","Chris Andersen"
"anderal01","Alan Anderson"
"anderju01","Justin Anderson"
"anderky01","Kyle Anderson"
"anderry01","Ryan Anderson"
"antetgi01","Giannis Antetokounmpo"
"anthoca01","Carmelo Anthony"
"anthojo01","Joel Anthony"
"arizatr01","Trevor Ariza"
"arthuda01","Darrell Arthur"
"asikom01","mer A??k"
"augusdj01","D.J. Augustin"
"babbilu01","Luke Babbitt"
"bakerro01","Ron Baker"
"baldwwa01","Wade Baldwin"
"barbole01","Leandro Barbosa"
"bareajo01","J.J. Barea"
"barneha02","Harrison Barnes"
"barnema02","Matt Barnes"
"bartowi01","Will Barton"
"bassbr01","Brandon Bass"
"batumni01","Nicolas Batum"
"bayleje01","Jerryd Bayless"
"baynear01","Aron Baynes"
"bazemke01","Kent Bazemore"
"bealbr01","Bradley Beal"
"beaslma01","Malik Beasley"
"beaslmi01","Michael Beasley"
"belinma01","Marco Belinelli"
"bembrde01","DeAndre' Bembry"
"bendedr01","Dragan Bender"
"bennean01","Anthony Bennett"
"bentibe01","Ben Bentil"
"bertada01","D?vis Bert?ns"
"beverpa01","Patrick Beverley"
"biyombi01","Bismack Biyombo"
"bjeline01","Nemanja Bjelica"
"blackta01","Tarik Black"
"bledser01","Eric Bledsoe"
"bogdabo02","Bojan Bogdanovi?"
"bogutan01","Andrew Bogut"
"bolomjo01","Joel Bolomboy"
"bookede01","Devin Booker"
"booketr01","Trevor Booker"
"bradlav01","Avery Bradley"
"breweco01","Corey Brewer"
"brogdma01","Malcolm Brogdon"
"brookaa01","Aaron Brooks"
"brownan02","Anthony Brown"
"brownbo02","Bobby Brown"
"brownja02","Jaylen Brown"
"brussni01","Nicols Brussino"
"bullore01","Reggie Bullock"
"burketr01","Trey Burke"
"burksal01","Alec Burks"
"butleji01","Jimmy Butler"
"cabocbr01","Bruno Caboclo"
"caldejo01","Jos Caldern"
"caldwke01","Kentavious Caldwell-Pope"
"canaais01","Isaiah Canaan"
"capelca01","Clint Capela"
"carrode01","DeMarre Carroll"
"cartevi01","Vince Carter"
"cartemi01","Michael Carter-Williams"
"casspom01","Omri Casspi"
"caulewi01","Willie Cauley-Stein"
"chandty01","Tyson Chandler"
"chandwi01","Wilson Chandler"
"chrisma01","Marquese Chriss"
"chrisra01","Rakeem Christmas"
"chrisse01","Semaj Christon"
"clarkia01","Ian Clark"
"clarkjo01","Jordan Clarkson"
"coleno01","Norris Cole"
"collida01","Darren Collison"
"collini01","Nick Collison"
"conlemi01","Mike Conley"
"connapa01","Pat Connaughton"
"cookqu01","Quinn Cook"
"couside01","DeMarcus Cousins"
"covinro01","Robert Covington"
"crabbal01","Allen Crabbe"
"crawfja01","Jamal Crawford"
"crawfjo02","Jordan Crawford"
"crowdja01","Jae Crowder"
"cunnida01","Dante Cunningham"
"curryse01","Seth Curry"
"curryst01","Stephen Curry"
"danietr01","Troy Daniels"
"davisan02","Anthony Davis"
"davisde01","Deyonta Davis"
"davised01","Ed Davis"
"dedmode01","Dewayne Dedmon"
"dekkesa01","Sam Dekker"
"delanma01","Malcolm Delaney"
"dellama01","Matthew Dellavedova"
"denglu01","Luol Deng"
"derozde01","DeMar DeRozan"
"diallch01","Cheick Diallo"
"diawbo01","Boris Diaw"
"dienggo01","Gorgui Dieng"
"dinwisp01","Spencer Dinwiddie"
"douglto01","Toney Douglas"
"dragigo01","Goran Dragi?"
"drumman01","Andre Drummond"
"dudleja01","Jared Dudley"
"dunlemi02","Mike Dunleavy"
"dunnkr01","Kris Dunn"
"duranke01","Kevin Durant"
"eddieja01","Jarell Eddie"
"ellenhe01","Henry Ellenson"
"ellinwa01","Wayne Ellington"
"ellismo01","Monta Ellis"
"embiijo01","Joel Embiid"
"ennisja01","James Ennis"
"ennisty01","Tyler Ennis"
"evansty01","Tyreke Evans"
"exumda01","Dante Exum"
"farieke01","Kenneth Faried"
"farmajo01","Jordan Farmar"
"favorde01","Derrick Favors"
"feldeka01","Kay Felder"
"feliccr01","Cristiano Felcio"
"feltora01","Raymond Felton"
"ferreyo01","Yogi Ferrell"
"finnedo01","Dorian Finney-Smith"
"forbebr01","Bryn Forbes"
"fournev01","Evan Fournier"
"foyera01","Randy Foye"
"fraziti01","Tim Frazier"
"fryech01","Channing Frye"
"gallida01","Danilo Gallinari"
"gallola01","Langston Galloway"
"garinpa01","Patricio Garino"
"gasolma01","Marc Gasol"
"gasolpa01","Pau Gasol"
"gayru01","Rudy Gay"
"gbinimi01","Michael Gbinije"
"geeal01","Alonzo Gee"
"georgpa01","Paul George"
"georgma01","Marcus Georges-Hunt"
"gibsojo01","Jonathan Gibson"
"gibsota01","Taj Gibson"
"ginobma01","Manu Ginbili"
"goberru01","Rudy Gobert"
"goodwar01","Archie Goodwin"
"gordoaa01","Aaron Gordon"
"gordoer01","Eric Gordon"
"gortama01","Marcin Gortat"
"grahatr01","Treveon Graham"
"grantje01","Jerami Grant"
"grantje02","Jerian Grant"
"greenda02","Danny Green"
"greendr01","Draymond Green"
"greenge01","Gerald Green"
"greenja01","JaMychal Green"
"greenje02","Jeff Green"
"griffbl01","Blake Griffin"
"hamilju01","Justin Hamilton"
"hammoaj01","A.J. Hammons"
"hardati02","Tim Hardaway Jr."
"hardeja01","James Harden"
"harklma01","Maurice Harkless"
"harpeju01","Justin Harper"
"harremo01","Montrezl Harrell"
"harride01","Devin Harris"
"harriga01","Gary Harris"
"harrijo01","Joe Harris"
"harrima01","Manny Harris"
"harrito02","Tobias Harris"
"harriaa01","Aaron Harrison"
"harrian01","Andrew Harrison"
"hasleud01","Udonis Haslem"
"hawessp01","Spencer Hawes"
"haywago01","Gordon Hayward"
"hendege02","Gerald Henderson"
"hensojo01","John Henson"
"hernaju01","Juan Hernangmez"
"hernawi01","Willy Hernangmez"
"hezonma01","Mario Hezonja"
"hibbero01","Roy Hibbert"
"hieldbu01","Buddy Hield"
"hilarne01","Nen"
"hillge01","George Hill"
"hilljo01","Jordan Hill"
"hillso01","Solomon Hill"
"hillida01","Darrun Hilliard"
"holidjr01","Jrue Holiday"
"holidju01","Justin Holiday"
"holliro01","Rondae Hollis-Jefferson"
"holmeri01","Richaun Holmes"
"hoodro01","Rodney Hood"
"horfoal01","Al Horford"
"houseda01","Danuel House"
"howardw01","Dwight Howard"
"huertma01","Marcelo Huertas"
"huestjo01","Josh Huestis"
"humphkr01","Kris Humphries"
"hunterj01","R.J. Hunter"
"ibakase01","Serge Ibaka"
"iguodan01","Andre Iguodala"
"ilyaser01","Ersan ?lyasova"
"inglejo01","Joe Ingles"
"ingrabr01","Brandon Ingram"
"irvinky01","Kyrie Irving"
"jackja01","Jarrett Jack"
"jacksde01","Demetrius Jackson"
"jackspi01","Pierre Jackson"
"jacksre01","Reggie Jackson"
"jamesle01","LeBron James"
"jeffeal01","Al Jefferson"
"jefferi01","Richard Jefferson"
"jenkijo01","John Jenkins"
"jennibr01","Brandon Jennings"
"jerebjo01","Jonas Jerebko"
"johnsam01","Amir Johnson"
"johnsbr02","Brice Johnson"
"johnsja01","James Johnson"
"johnsjo02","Joe Johnson"
"johnsst04","Stanley Johnson"
"johnsty01","Tyler Johnson"
"johnswe01","Wesley Johnson"
"jokicni01","Nikola Joki?"
"jonesda02","Dahntay Jones"
"jonesda03","Damian Jones"
"jonesde02","Derrick Jones Jr."
"jonesja02","James Jones"
"joneste01","Terrence Jones"
"jonesty01","Tyus Jones"
"jordade01","DeAndre Jordan"
"josepco01","Cory Joseph"
"kaminfr01","Frank Kaminsky"
"kanteen01","Enes Kanter"
"kellyry01","Ryan Kelly"
"kiddgmi01","Michael Kidd-Gilchrist"
"kilpase01","Sean Kilpatrick"
"knighbr03","Brandon Knight"
"korveky01","Kyle Korver"
"koufoko01","Kosta Koufos"
"kuzmimi01","Mindaugas Kuzminskas"
"labissk01","Skal Labissire"
"lambje01","Jeremy Lamb"
"laproni01","Nicols Laprovttola"
"lauvejo01","Joffrey Lauvergne"
"lavinza01","Zach LaVine"
"lawsoty01","Ty Lawson"
"laymaja01","Jake Layman"
"leeco01","Courtney Lee"
"leeda02","David Lee"
"lenal01","Alex Len"
"leonaka01","Kawhi Leonard"
"leoname01","Meyers Leonard"
"leuerjo01","Jon Leuer"
"leverca01","Caris LeVert"
"liggide01","DeAndre Liggins"
"lillada01","Damian Lillard"
"linje01","Jeremy Lin"
"livinsh01","Shaun Livingston"
"longsh01","Shawn Long"
